init_node;term_node;capacity;length
711;718;5600;0.05
712;1633;8400;0.03
713;1818;2533.33;0.14
715;716;2800;0.02
716;717;2800;0.02
717;1818;1866.67;0.02
719;1450;2800;0.18
720;719;2800;0.02
722;723;2800;0.05
723;1831;2800;0.05
724;726;8400;0.05
725;1637;5066.67;0.04
726;730;8400;0.16
727;737;2533.33;0.19
728;1813;2800;0.76
729;728;2800;0.04
730;731;8400;0.17
731;732;2533.33;0.13
731;734;5600;0.06
732;1640;5066.67;0.1
733;1289;2800;0.11
734;1844;5600;0.3
735;737;2800;0.07
736;1921;1866.67;0.14
737;738;2533.33;0.05
738;739;2533.33;0.03
739;1849;8400;0.09
740;741;8400;0.14
740;745;2533.33;0.17
741;842;8400;0.14
742;746;5600;0.03
743;733;1866.67;0.03
744;1639;2000;0.31
745;747;5066.67;0.06
746;736;1866.67;0.1
746;743;1866.67;0.03
747;748;5066.67;0.08
748;749;2533.33;0.06
748;1848;2800;0.07
749;753;2533.33;0.1
751;781;5066.67;0.06
752;783;3733.33;0.09
753;1833;2533.33;0.09
754;861;5600;0.44
755;756;1866.67;0.09
756;755;1866.67;0.09
756;816;1866.67;1.06
757;819;1866.67;0.42
758;776;2800;0.49
758;779;2800;0.24
759;482;2800;0.58
759;775;5066.67;0.05
761;1754;2800;0.33
763;764;2533.33;0.04
764;769;5066.67;0.14
765;780;5066.67;0.26
766;1527;2800;0.45
767;765;7600;0.12
768;767;5066.67;0.16
769;768;2800;0.41
769;773;2800;0.61
770;771;5066.67;0.05
771;772;7600;0.07
772;774;7600;0.17
773;1367;1866.67;0.13
774;773;2800;0.65
775;776;5066.67;0.06
776;985;5066.67;0.13
777;779;5066.67;0.12
778;986;5066.67;0.07
779;778;7600;0.11
780;804;5066.67;0.01
781;1014;2800;0.04
781;1015;5066.67;0.36
782;1339;8400;0.31
783;474;3733.33;0.07
784;752;3733.33;0.05
785;791;7600;0.06
786;810;8400;0.25
787;788;3733.33;0.04
788;794;3733.33;0.04
789;790;2800;0.05
790;1833;2800;0.04
791;792;3733.33;0.08
791;892;5600;0.62
792;799;3733.33;0.1
793;809;8400;0.05
794;808;3733.33;0.08
795;1470;2800;0.3
796;803;5066.67;0.2
797;798;8400;0.16
798;1369;8400;0.04
799;677;1866.67;0.06
800;1403;5600;0.46
801;795;2800;0.07
802;806;8400;0.11
804;480;7600;0.12
805;1203;11200;0.1
806;928;2800;0.52
806;938;5600;0.13
807;1673;1866.67;0.1
808;852;3733.33;0.07
808;1839;5066.67;0.04
809;865;8400;0.22
811;812;5066.67;0.08
812;813;2533.33;0.02
813;1330;2533.33;0.04
814;815;2800;0.1
814;819;2800;0.06
815;817;1866.67;0.05
816;756;1866.67;1.06
816;819;1866.67;0.32
817;816;1866.67;0.18
818;1210;2800;0.28
819;762;1866.67;0.23
819;815;1866.67;0.08
820;821;5066.67;0.02
821;822;5066.67;0.08
822;825;7600;0.06
824;823;2533.33;0.02
825;823;5066.67;0.05
825;826;2533.33;0.03
830;831;2533.33;0.03
831;832;5066.67;0.2
834;1344;5066.67;0.03
835;836;2800;0.03
836;837;2800;0.04
837;840;5066.67;0.07
838;1448;2800;0.18
839;838;1866.67;0.04
840;350;2533.33;0.06
840;839;1866.67;0.05
841;1307;8400;0.07
842;843;8400;0.09
843;845;8400;0.1
844;603;2800;0.18
845;849;8400;0.32
846;844;2800;0.06
846;1911;1866.67;0.06
847;1164;8400;0.08
848;446;7466.67;0.09
849;350;8400;0.07
850;851;5600;0.13
850;949;2800;0.04
852;871;3733.33;0.05
853;854;11200;0.18
854;658;14000;0.53
855;319;5600;0.08
856;860;14000;0.14
857;858;5600;0.08
858;1650;5600;0.19
860;864;11200;0.05
860;1214;2800;0.17
861;862;5600;0.1
862;1648;5600;0.08
862;1649;2800;0.06
863;1648;2800;0.01
864;1694;11200;0.04
865;782;11200;0.07
866;963;5600;0.47
867;1242;11200;0.34
868;867;11200;0.29
869;931;2800;0.17
870;887;8400;0.1
871;335;3733.33;0.09
871;1838;5066.67;0.06
872;584;8400;0.17
873;449;5066.67;0.01
875;876;3733.33;0.02
876;1907;3733.33;1.18
877;878;3733.33;0.02
881;1134;3733.33;0.04
881;1986;5600;0.8
884;1885;7600;0.62
885;893;5066.67;0.07
886;885;7600;0.1
887;888;8400;0.06
888;1061;11200;0.05
890;882;3733.33;0.03
890;1149;3733.33;0.04
890;1985;5600;0.04
890;1987;5066.67;0.02
891;531;5600;0.02
891;1274;1866.67;0.01
892;257;12666.7;0.23
895;894;2533.33;0.03
895;901;5066.67;0.16
896;898;2533.33;0.02
896;911;2800;0.07
897;918;2533.33;0.02
898;897;2533.33;0.02
898;907;2533.33;0.2
898;911;2800;0.05
899;900;1866.67;0.03
899;901;2533.33;0.04
900;932;2800;0.04
901;494;2533.33;0.02
901;916;2533.33;0.13
901;932;2800;0.03
902;913;2800;0.03
902;915;2533.33;0.03
902;1546;2533.33;0.16
903;904;2800;0.03
903;919;2800;0.36
903;1479;2800;0.04
904;903;2800;0.03
904;921;2533.33;0.01
904;1479;1866.67;0.02
905;917;2533.33;0.62
905;994;2533.33;0.35
907;505;2533.33;0.5
908;909;2533.33;0.12
909;896;2533.33;0.09
910;902;2800;0.03
910;915;2800;0.07
911;910;5066.67;0.05
912;897;2800;0.07
912;898;2800;0.05
913;912;5066.67;0.05
914;902;2533.33;0.01
914;913;2800;0.04
915;899;5066.67;0.09
916;902;2533.33;0.03
917;898;2533.33;0.04
918;905;2533.33;0.62
919;373;5066.67;0.08
920;903;2800;0.42
921;905;2533.33;0.35
922;766;2800;0.06
922;1730;2533.33;0.03
925;927;5066.67;0.09
926;1033;2533.33;0.05
928;1730;2800;0.03
929;1410;1866.67;0.04
930;1185;8400;0.03
931;1124;2800;0.2
932;1801;2800;0.25
933;1292;2533.33;0.15
934;1467;2800;0.19
936;970;5600;0.02
937;720;2800;0.05
937;1831;2533.33;0.15
938;1542;8400;0.04
939;1238;1866.67;0.07
940;1039;3733.33;0.07
941;942;5066.67;0.16
942;943;5066.67;0.1
943;944;5066.67;0.05
944;1409;5066.67;0.02
945;946;5066.67;0.09
946;954;5066.67;0.11
947;955;1866.67;0.03
949;984;2800;0.02
951;952;14000;0.26
952;957;14000;0.22
953;958;7600;0.16
954;955;5066.67;0.01
956;256;2800;0.29
957;275;5600;0.09
957;892;8400;0.18
958;960;2800;0.03
958;1042;5066.67;0.17
959;1341;8400;0.61
960;589;2800;0.35
962;992;5066.67;0.07
962;1001;8400;0.3
963;978;5600;0.29
964;1549;3733.33;0.03
965;2000;2800;0.02
967;1121;5066.67;0.02
970;972;2800;0.21
970;1452;2533.33;0.17
970;1504;2533.33;0.9
971;1195;1866.67;0.05
972;367;2800;0.1
974;459;2533.33;0.02
975;976;11200;0.05
976;977;11200;0.05
977;1032;11200;0.15
978;982;5066.67;0.03
979;981;5066.67;0.03
980;987;5600;0.17
982;983;5066.67;0.08
984;1333;5600;0.03
985;770;5066.67;0.44
987;989;2533.33;0.17
987;1411;5600;0.11
988;991;5600;0.12
989;1241;5066.67;0.03
990;459;2533.33;0.01
991;768;2800;0.65
991;811;2800;0.5
992;993;5066.67;0.06
994;903;2800;0.04
994;904;2533.33;0.01
996;403;2533.33;0.21
997;1003;2533.33;0.02
998;997;5066.67;0.08
999;1137;2800;0.06
1000;881;5600;0.09
1002;644;8400;0.41
1003;1345;5066.67;0.05
1004;1115;5066.67;0.17
1005;1011;7600;0.11
1007;1018;5066.67;0.08
1008;469;5066.67;0.35
1008;1017;2800;0.82
1009;469;2800;0.24
1009;1018;2800;0.32
1010;1003;5066.67;0.36
1011;471;2800;0.37
1011;1007;5066.67;0.67
1012;1005;5066.67;0.26
1015;1016;5066.67;0.15
1016;1008;7600;0.09
1017;489;5066.67;0.12
1018;495;5066.67;0.34
1019;1030;5066.67;0.1
1021;1035;2533.33;0.02
1021;1981;5066.67;0.58
1022;1128;2533.33;0.03
1022;1130;5066.67;0.23
1023;1026;5066.67;0.08
1026;1022;7600;0.2
1027;1576;8400;2.48
1028;1189;2533.33;0.25
1029;1028;2533.33;0.44
1030;996;2800;0.31
1030;1441;2533.33;0.08
1031;742;2800;0.19
1032;676;11200;0.6
1033;1504;2533.33;0.05
1034;1046;5066.67;0.07
1036;1037;7600;0.16
1037;1038;5066.67;0.04
1037;1980;2533.33;0.01
1038;968;5066.67;0.54
1039;1191;3733.33;0.5
1040;1042;2800;0.07
1042;1894;7600;0.15
1043;565;2800;0.34
1044;1113;5066.67;0.04
1045;1046;5600;0.28
1046;621;11200;0.11
1047;1606;2800;0.19
1048;659;2800;0.25
1048;1047;2800;0.1
1049;1852;2800;0.04
1049;1853;2533.33;0.06
1050;1051;2800;0.02
1051;1853;2800;0.01
1052;1054;2800;0.02
1053;1111;8400;0.09
1054;643;2800;0.03
1055;1053;8400;0.09
1056;663;8400;0.09
1057;1854;5600;0.13
1058;1050;2800;0.14
1059;1060;8400;0.05
1060;1063;8400;0.06
1061;1074;11200;0.01
1063;1062;11200;0.07
1064;1237;1866.67;0.16
1065;1066;11200;0.09
1066;1863;8400;0.05
1066;1868;2800;0.02
1067;1863;2800;0.02
1068;1069;2800;0.02
1069;1858;2800;0.01
1070;1067;2800;0.19
1072;1071;1866.67;0.01
1073;1859;2800;0.14
1074;1075;8400;0.03
1074;1638;1866.67;0.09
1075;1076;8400;0.07
1076;1094;5600;0.04
1077;1099;2800;0.09
1078;1079;2800;0.07
1079;1877;5066.67;0.17
1080;1081;5600;0.07
1081;281;2800;0.03
1082;579;7600;0.09
1083;881;5600;0.04
1085;1086;2800;0.1
1085;1087;2800;0.05
1086;1107;2800;0.06
1087;1078;2800;0.22
1088;1089;2800;0.11
1089;1090;5600;0.02
1090;1091;5600;0.04
1091;1092;5600;0.05
1092;1873;5600;0.03
1093;1094;2800;0.04
1094;1095;11200;0.09
1095;1103;8400;0.06
1097;1882;2800;0.08
1098;1883;5066.67;0.02
1099;1100;2800;0.05
1100;1883;2800;0.13
1101;1080;2800;0.38
1102;1101;2800;0.02
1103;1104;8400;1.48
1104;1127;8400;0.05
1105;1106;3733.33;0.04
1106;1109;7600;0.03
1107;450;2800;0.03
1108;450;2800;0.03
1110;537;5066.67;0.08
1111;1112;8400;0.02
1112;1145;11200;0.38
1113;1123;5066.67;0.08
1114;1346;5066.67;0.56
1115;1117;7600;0.09
1116;452;4000;0.11
1117;1118;10133.3;0.05
1119;1143;5066.67;0.05
1120;1230;5066.67;0.06
1121;1159;5066.67;0.02
1121;1802;1866.67;0.03
1122;466;11200;0.02
1123;1125;5066.67;0.15
1124;1125;2800;0.18
1125;1012;5066.67;0.08
1127;438;11200;0.25
1128;1129;2533.33;0.02
1129;1618;2800;0.13
1130;1706;5066.67;0.04
1131;1064;1866.67;0.07
1132;1700;2533.33;0.03
1133;1144;5066.67;0.03
1135;872;5600;0.15
1136;1348;10133.3;0.04
1137;1709;8400;0.47
1139;1229;5066.67;0.04
1140;1840;5600;0.3
1141;1658;8400;0.13
1142;1701;2533.33;0.02
1143;1615;3733.33;0.19
1144;1155;5066.67;0.05
1145;1302;8400;0.03
1145;1303;4000;0.06
1146;890;10133.3;0.02
1146;1985;1866.67;0.06
1147;882;2533.33;0.03
1147;890;10133.3;0.01
1148;1240;8400;0.04
1150;1152;3733.33;0.05
1151;440;2800;0.04
1151;441;5600;0.03
1152;531;3733.33;0.09
1153;1154;2800;0.02
1154;1156;2800;0.02
1155;1158;5066.67;0.07
1156;441;3733.33;0.16
1157;1156;2533.33;0.12
1157;1165;2800;0.09
1157;1199;2800;0.1
1158;1663;5066.67;0.04
1159;1167;5066.67;0.09
1160;458;5600;0.03
1162;1166;4000;0.06
1163;1162;4000;0.04
1164;1163;4000;0.03
1164;1179;5600;0.5
1165;1632;2800;0.03
1166;1169;4000;0.04
1167;1780;5066.67;0.04
1168;462;5600;0.01
1169;354;2800;0.32
1169;1170;2000;0.04
1170;1404;2000;0.09
1171;521;2533.33;0.01
1171;1193;2533.33;0.01
1172;1173;5066.67;0.03
1173;1175;5066.67;0.02
1174;1669;6000;0.1
1175;1176;5066.67;0.04
1176;1177;5066.67;0.04
1177;1600;5066.67;0.07
1178;1414;2800;0.18
1179;1726;14000;0.11
1182;1851;5066.67;0.02
1183;247;2800;0.04
1184;930;2800;0.29
1184;1299;2800;0.05
1185;1190;8400;0.07
1187;307;2800;0.25
1189;859;2533.33;0.08
1190;1586;2800;0.01
1190;1590;5600;0.11
1191;1924;5066.67;0.05
1192;1276;1866.67;1.5
1193;1212;2533.33;0.04
1194;520;2533.33;0.02
1196;1186;1866.67;1.73
1196;1194;1866.67;1.78
1197;651;8400;0.07
1198;1275;2533.33;1.67
1199;1631;2800;0.03
1200;473;8400;1.02
1201;1202;2800;0.2
1202;1685;14000;0.07
1203;1688;2800;0.19
1203;1690;11200;0.12
1204;1531;5600;0.36
1205;1623;5066.67;0.08
1206;868;11200;0.17
1207;1208;2800;0.04
1208;1206;2800;0.02
1210;1444;2800;0.02
1211;1694;2800;0.06
1213;521;2533.33;0.05
1214;460;2800;0.54
1215;1209;3733.33;0.21
1216;1217;14000;0.08
1217;1221;2533.33;0.09
1218;1265;2800;0.31
1219;1220;5600;0.08
1220;258;2800;0.1
1220;1285;2800;0.31
1221;1218;2800;0.02
1221;1723;2533.33;0.11
1222;1723;2800;0.02
1223;1224;2800;0.02
1223;1226;2533.33;0.09
1224;1713;2800;0.02
1225;1226;2800;0.05
1226;1711;2533.33;0.1
1227;1710;14000;0.09
1229;1131;5066.67;0.05
1230;1138;5066.67;0.76
1231;1232;5066.67;0.02
1231;1233;2533.33;0.04
1232;1234;5066.67;0.19
1233;1618;2800;0.47
1234;1236;5066.67;0.14
1235;1234;2533.33;0.01
1236;1702;5066.67;0.14
1237;940;1866.67;0.06
1237;1238;1866.67;0.03
1238;940;1866.67;0.04
1238;1322;1866.67;0.25
1240;1200;8400;0.13
1241;1368;2800;0.05
1241;1372;2533.33;0.04
1242;1699;14000;0.72
1243;518;2533.33;0.06
1246;1245;2533.33;0.14
1247;1318;1866.67;0.07
1247;1322;1866.67;0.05
1248;1238;1866.67;0.12
1249;1252;14000;0.07
1250;1593;2533.33;0.38
1252;1255;5066.67;0.07
1252;1714;8400;0.2
1253;352;5066.67;0.03
1255;1256;5066.67;0.04
1256;1712;2800;0.05
1256;1716;2533.33;0.11
1257;1258;2800;0.02
1257;1262;2533.33;0.05
1258;1259;2800;0.02
1259;1722;2800;0.02
1262;1263;5066.67;0.02
1263;1264;5066.67;0.11
1264;1266;2533.33;0.07
1264;1718;2800;0.04
1265;1266;2800;0.03
1267;1270;2533.33;0.07
1267;1396;2800;0.04
1268;1269;2800;0.02
1269;1270;2800;0.03
1270;1272;5066.67;0.11
1271;1283;11200;0.1
1272;1273;2800;0.03
1272;1281;2533.33;0.02
1273;1717;2800;0.03
1275;1196;1866.67;0.03
1276;1196;1866.67;0.28
1278;1279;2800;0.03
1279;1280;2800;0.14
1280;1277;2800;0.02
1281;1277;2533.33;0.05
1282;1262;2800;0.01
1283;1284;11200;0.3
1284;1286;11200;0.67
1285;278;2800;0.06
1286;1287;14000;0.26
1287;1031;2800;0.04
1287;1288;11200;0.05
1288;1290;5600;0.05
1289;1290;2800;0.02
1290;1291;8400;0.09
1291;1296;5600;0.06
1292;1029;2533.33;0.34
1293;1541;2533.33;0.08
1294;1297;2800;0.07
1295;270;2800;0.37
1297;1666;2800;0.51
1298;1056;8400;0.1
1299;1565;7600;0.08
1300;785;1866.67;0.14
1300;1407;5600;0.14
1301;1310;5600;0.1
1302;279;8400;0.12
1303;1116;4000;0.05
1304;351;3733.33;0.02
1304;357;1866.67;0.03
1305;431;2800;0.1
1306;463;5600;0.29
1306;1305;2800;0.09
1307;1309;5600;0.06
1307;1656;2800;0.04
1308;1309;2800;0.02
1309;1655;8400;0.13
1310;1311;5600;0.12
1311;1314;2800;0.02
1311;1317;5600;0.08
1313;1312;2800;0.02
1314;1313;2800;0.02
1315;1316;2800;0.03
1316;1317;2800;0.05
1317;1657;8400;0.08
1318;1248;3733.33;0.1
1320;1319;1866.67;0.03
1320;1322;1866.67;0.03
1322;1318;1866.67;0.04
1322;1319;1866.67;0.02
1323;1681;11200;0.07
1327;988;2800;0.32
